Country,City,PM2.5,Latitude,Longitude,sensorType,Date
Australia,Ti Tree Bend,32.0,-41.419,147.124,reference grade,2024-06-30T09:32:06+00:00
Australia,Ti Tree Bend,15.0,-41.419,147.124,reference grade,2024-06-30T09:12:06+00:00
Australia,Ti Tree Bend,4.0,-41.419,147.124,reference grade,2024-06-30T08:32:06+00:00
Australia,Ti Tree Bend,4.0,-41.419,147.124,reference grade,2024-06-30T08:12:05+00:00
Australia,Ti Tree Bend,4.0,-41.419,147.124,reference grade,2024-06-30T07:52:05+00:00
Australia,Ti Tree Bend,1.0,-41.419,147.124,reference grade,2024-06-30T07:32:05+00:00
Australia,Ti Tree Bend,2.0,-41.419,147.124,reference grade,2024-06-30T07:12:06+00:00
Australia,Ti Tree Bend,2.0,-41.419,147.124,reference grade,2024-06-30T06:52:06+00:00
Australia,Ti Tree Bend,2.0,-41.419,147.124,reference grade,2024-06-30T06:12:05+00:00
Australia,Ti Tree Bend,0.0,-41.419,147.124,reference grade,2024-06-30T05:32:06+00:00
Australia,Ti Tree Bend,0.0,-41.419,147.124,reference grade,2024-06-30T05:12:05+00:00
Australia,Ti Tree Bend,0.0,-41.419,147.124,reference grade,2024-06-30T04:52:06+00:00
Australia,Ti Tree Bend,0.0,-41.419,147.124,reference grade,2024-06-30T04:32:05+00:00
Australia,Ti Tree Bend,0.0,-41.419,147.124,reference grade,2024-06-30T04:12:05+00:00
Australia,Ti Tree Bend,0.0,-41.419,147.124,reference grade,2024-06-30T03:32:05+00:00
Australia,Ti Tree Bend,1.0,-41.419,147.124,reference grade,2024-06-30T03:12:06+00:00
Australia,Ti Tree Bend,1.0,-41.419,147.124,reference grade,2024-06-30T02:52:06+00:00
Australia,Ti Tree Bend,4.0,-41.419,147.124,reference grade,2024-06-30T02:32:06+00:00
Australia,Ti Tree Bend,6.0,-41.419,147.124,reference grade,2024-06-30T02:12:05+00:00
Australia,Ti Tree Bend,8.0,-41.419,147.124,reference grade,2024-06-30T01:52:06+00:00
Australia,Ti Tree Bend,16.0,-41.419,147.124,reference grade,2024-06-30T01:32:06+00:00
Australia,Ti Tree Bend,19.0,-41.419,147.124,reference grade,2024-06-30T01:12:05+00:00
Australia,Ti Tree Bend,21.0,-41.419,147.124,reference grade,2024-06-30T00:52:06+00:00
Australia,Ti Tree Bend,26.0,-41.419,147.124,reference grade,2024-06-30T00:32:06+00:00
Australia,Ti Tree Bend,15.0,-41.419,147.124,reference grade,2024-06-29T23:52:06+00:00
Australia,Ti Tree Bend,31.0,-41.419,147.124,reference grade,2024-06-29T23:32:05+00:00
Australia,Ti Tree Bend,15.0,-41.419,147.124,reference grade,2024-06-29T23:12:05+00:00
Australia,Ti Tree Bend,16.0,-41.419,147.124,reference grade,2024-06-29T22:52:06+00:00
Australia,Ti Tree Bend,13.0,-41.419,147.124,reference grade,2024-06-29T22:32:06+00:00
Australia,Ti Tree Bend,28.0,-41.419,147.124,reference grade,2024-06-29T22:12:06+00:00
Azerbaijan,Baku,36.0,40.386992,49.842946,reference grade,2024-07-01T13:00:00+00:00
Azerbaijan,Baku,56.0,40.386992,49.842946,reference grade,2024-07-01T12:00:00+00:00
Azerbaijan,Baku,29.0,40.386992,49.842946,reference grade,2024-07-01T11:00:00+00:00
Azerbaijan,Baku,47.0,40.386992,49.842946,reference grade,2024-07-01T10:00:00+00:00
Azerbaijan,Baku,39.0,40.386992,49.842946,reference grade,2024-07-01T09:00:00+00:00
Azerbaijan,Baku,49.0,40.386992,49.842946,reference grade,2024-07-01T08:00:00+00:00
Azerbaijan,Baku,72.0,40.386992,49.842946,reference grade,2024-07-01T07:00:00+00:00
Azerbaijan,Baku,100.0,40.386992,49.842946,reference grade,2024-07-01T06:00:00+00:00
Azerbaijan,Baku,65.0,40.386992,49.842946,reference grade,2024-07-01T05:00:00+00:00
Azerbaijan,Baku,40.0,40.386992,49.842946,reference grade,2024-07-01T04:00:00+00:00
Azerbaijan,Baku,22.0,40.386992,49.842946,reference grade,2024-07-01T03:00:00+00:00
Azerbaijan,Baku,12.0,40.386992,49.842946,reference grade,2024-07-01T02:00:00+00:00
Azerbaijan,Baku,15.0,40.386992,49.842946,reference grade,2024-07-01T01:00:00+00:00
Azerbaijan,Baku,17.0,40.386992,49.842946,reference grade,2024-07-01T00:00:00+00:00
Azerbaijan,Baku,16.0,40.386992,49.842946,reference grade,2024-06-30T23:00:00+00:00
Azerbaijan,Baku,10.0,40.386992,49.842946,reference grade,2024-06-30T22:00:00+00:00
Azerbaijan,Baku,14.0,40.386992,49.842946,reference grade,2024-06-30T21:00:00+00:00
Azerbaijan,Baku,18.0,40.386992,49.842946,reference grade,2024-06-30T20:00:00+00:00
Azerbaijan,Baku,10.0,40.386992,49.842946,reference grade,2024-06-30T19:00:00+00:00
Azerbaijan,Baku,17.0,40.386992,49.842946,reference grade,2024-06-30T18:00:00+00:00
Azerbaijan,Baku,29.0,40.386992,49.842946,reference grade,2024-06-30T17:00:00+00:00
Azerbaijan,Baku,38.0,40.386992,49.842946,reference grade,2024-06-30T16:00:00+00:00
Azerbaijan,Baku,11.0,40.386992,49.842946,reference grade,2024-06-30T15:00:00+00:00
Azerbaijan,Baku,20.0,40.386992,49.842946,reference grade,2024-06-30T14:00:00+00:00
